大南正編列傳初集卷之三十。	ĐẠI NAM CHÍNH BIÊN LIỆT TRUYỆN Tập đầu, quyển 30.
辛卯睿宗皇帝繼統之六年黎景興三十二年清乾隆三十六年岳遂于西山上道設立屯寨上道即蠻中下道即堅城邑招納亡命，一辰獷悍無賴者多歸之。	Năm tân mão (1771) nhằm năm thứ 6 của Duệ tông Hoàng đế nối ngôi (năm Lê Cảnh Hưng thứ 32 năm Thanh Càn Long thứ 36) Nhạc bèn thiết lập đồn trại ở Thượng đạo đất Tây sơn (Thượng đạo là trong vùng man, người thượng, Hạ đạo tức ấp Kiên Thành) chiêu nạp những kẻ trốn tránh, bọn vô lại hung bạo một thời ấy phần nhiều đều theo Nhạc.
辰國傅張福巒內擅廢立專擁朝權，眾情憤怨，歲値荒歉。	Lúc ấy quan Quốc phó Trương Phúc Loan trong triều thì tự ý định đoạt việc phế lập chuyên nắm một mình hết quyền chính, (ở ngoài) thì lòng dân oán hận, năm gặp mất mùa thiếu đói.
賊初起掠富周貧，僞行小惠以買人心。	Giặc lúc đầu nổi lên thì cướp của người giàu chu cấp cho người nghèo, dối trá thi ân nhỏ mọn để mua chuộc lòng người.
有玄溪者家素豐出貲相助順義。	Có Ông Huyền Khê, nhà vốn giàu có bỏ tiền của ra giúp đỡ thuận theo việc khởi nghĩa.
阮樁土豪也爲之慫慂。	Ông Nguyễn Thung, tay thổ hào khuyến khích dẫn dắt cho Nhạc.
徒黨益眾，散掠鄕邑，所至喊呼相應，勢日橫，地方不能制。	Bè đảng của Nhạc càng thêm đông đảo, phân tán ra cướp giựt làng ấp, đi đến đâu thì hò reo la ó hưởng ứng nhau, thế lực ngày càng ngang tàng, quan địa phương không thể chế ngự nổi.
岳等相與謀曰：“今姦臣張福巒貨賂公行濁亂朝政，我舉兵除之。	Bọn Nhạc bàn mưu với nhau : “Nay gian thần Trương Phúc Loan tham nhũng công nhiên làm việc hối lộ làm đục bẩn rối loạn cả triều chính, ta cất binh trừ hắn.
太保世子吴之子，皇孫暘爲人仁厚聰明，我當迎立以安王室。	Hoàng tôn Dương con của Thái Bảo (Thế tử Hoa) là người nhân hậu thông minh, ta phải rước lập làm vua để yên nhà Chúa (Nguyễn).
約旣定傳播遠近，人皆信之。	Giao ước đã định thì truyền bá ra khắp xa gần, người người đều tin theo.
後凡官兵進討皆曰此國傅之兵也。	Về sau hễ quan binh đi đánh dẹp họ đều nói đó là binh của quan Quốc phó.
賊兵所至皆曰此皇孫之兵也。	Binh giặc đến đâu họ đều nói đó là binh của Hoàng tôn.
故有兵朝，兵國傅。	Cho nên có câu Binh triều, binh Quốc phó.
兵惡，兵皇孫之語。	Binh ó, binh Hoàng tôn.
惡卽喊也。	Ó tức la ó.
癸巳秋岳自西山上率其眾下次堅城，自稱爲第一寨主管符籬蓬山二縣。	Mùa thu năm quý tỵ (1773) Nhạc từ thượng đạo đất Tây sơn dẫn quân xuống đóng ở Kiên Thành tự xưng là Đệ nhất Trại chủ cai quản hai huyện Phù ly và Bồng sơn hai huyện.
阮樁爲第二寨主管綏遠縣椿後爲岳所殺。	Nguyễn Thung làm Đệ nhị Trại chủ cai quản huyện Tuy viễn. Thung về sau bị Nhạc giết.
玄溪爲第三寨主管軍餉，密約占城女主名氏火立寨石城，後爲宋福洽軍所殺以爲犄援。	Huyền Khê làm Đệ tam Trại chủ coi việc binh lương, mật ước với Nữ chúa Chiêm thành (tên Thị Hoa dựng trại ở Thạch thành, về sau bị quân của Tống Phúc Hạp giết) để làm thế nương tựa tiếp ứng nhau.
又招致安象源屬綏遠仍輝四靈二人名後爲岳所殺使與阮樁率一支兵下歸仁府莅，乘夜攻掠。	Nhạc lại gọi Nhưng Huy và Tứ Linh ở An tượng nguyên (thuộc huyện Tuy viễn) khiến cùng Nguyễn Thung dẫn một cánh quân xuống phủ ly Quy nhơn thừa đêm hôm đánh cướp.
眾皆驚散。	Dân chúng đều kinh hãi tán loạn.
巡撫阮克宣遁走。	Quan Tuần phủ Nguyễn Khắc Tuyên trốn chạy.
一說岳爲人多機智，一日自坐檻中使其徒輪報云擒岳解納。	Một thuyết khác nói Nhạc là người nhiều cơ trí, một hôm tự ngồi vào trong cũi, khiến đồ đảng chở đi báo rằng Bắt được Nhạc giải nạp.
阮克宣不虞其詐，令開城門納之。	Tuần phủ Nguyễn Khắc Tuyên không ngờ mưu trá ấy, ra lịnh mở cửa thành thu nhận Nhạc.
其夜徒黨潛至城外。	Đêm ấy đồ đảng của Nhạc lên đến ngoài thành.
岳破檻而出，大開營門，徒黨闖入焚營殺将，途據其城。	Nhạc phá cũi mà ra, mở to cửa doanh, đồ đảng thình lình sấn vào, đốt doanh giết tướng mà chiếm giữ thành Quy nhơn.
岳率兵往乾陽淡水二處奪取暫倉。	Nhạc dẫn binh đến hai chỗ Càn dương và Đạm thuỷ đoạt lấy kho lương tạm thời.
督徵騰，欽差亮，俱缺姓皆走。	Viên Đốc trưng Đằng và Khâm sai Lượng (đều thiếu họ) đều bỏ chạy.
岳追殺亮，夷騰族，遂據歸仁，建西山旗號，分置中，前，左，右，後五屯，相率而前至廣南界。	Nhạc đuổi theo giết Lượng và giết cả tộc họ của Đằng rồi chiếm cứ Quy nhơn, dựng cờ hiệu Tây sơn, phân đặt năm đồn: Trung, Tiền, Tả, Hữu, Hậu, kéo nhau tiến tới đến ranh giới Quảng nam.
事聞睿宗命掌奇阮久統，阮久策，總戎宋宋贊理杜文晃等往討之。	Nghe được tin biến, Duệ tông sai bọn Chưởng cơ Nguyễn Cửu Thống, Nguyễn Cửu Sách, Tổng nhung Tống Tống (?) Tán lý Đỗ Văn Hoãng đi đánh dẹp giặc.
兵至板津屬廣南，賊憑壘以拒。	Binh ta đến Bản tân (thuộc Quảng nam). Giặc dựa vào luỹ chống cự.
我兵擊走之。	Binh ta (của Chúa Nguyễn) đánh chúng bỏ chạy.
賊退保石津，遂乘勝長驅遇伏，統等敗走，宋晃皆死於陣。	Giặc lùi giữ Thạch tân. Binh ta bèn thừa thắng đuôi dài nhưng gặp phục binh. Bọn Thống thua chạy, Tống, Hoãng đều chết trong trận.
由是賊勢益熾。	Do đó thế giặc càng bừng lên mãnh liệt.
淸商集亭李才等亦皆聚黨應之。	Bọn lái buôn người Tàu Tập Đình, Lý Tài cũng đều tụ đảng hưởng ứng với Nhạc.
岳結爲助，號集亭忠義軍，李才和義軍，又取土人高大者剃頭辮髮與清人雜，戰則醉飲裸身，頸懸金銀紙以示必死，每爲前衝官兵莫能抗者。	Nhạc liên kết với chúng để chúng giúp sức, gọi Tập Đình là Trung nghĩa quân, gọi Lý Tài là Hoà nghĩa quân, lại bắt những người bản thổ cao lớn cạo đầu giắt bín cho hợp chung với bọn người Tàu, khi chiến đấu thì uống rượu say, để thân truồng, cổ đeo giấy vàng bạc để tỏ ý quyết chết, mỗi lần tiến tới xung đột thì quan binh không ai chống nổi.
是年十二月節制尊室香率內軍及諸親兵大勦，進至碧鷄山属平定符美縣爲賊將集亭李才伏兵所殺，餘眾皆潰。	Tháng 12 năm ấy, Tiết chế Tôn Thất Hương dẫn nội quân và các thân binh mở cuộc tiễu trừ lớn lao, tiến đến núi Bich kê (thuộc huyện Phù mỹ tỉnh Bình định) bị tướng giặc Tập Đình và Lý Tài phục binh giết chết, quân còn sống sót đều tan vỡ.
岳進據廣義。	Nhạc tiến tới chiếm cứ Quảng nghĩa.
該奇尊室斌尊室靖之子拒戰不克引還。	Cai cơ Tôn Thất Bản (con của Tôn Thất Tĩnh) cự chiến không thắng dẫn quân trở về.
岳又使其黨侵掠延慶平康諸府。	Nhạc lại sai đồ đảng xâm lược các phủ Diên khánh Bình khang.
於是廣義以南至平順皆爲岳所有。	Do đó tử Quảng nghĩa trở về nam đến Bình thuận đều thuộc sở hữu của Nhạc.
岳又侵掠廣南。	Nhạc lại xâm lược Quảng nam.
我兵累戰不利，獨有該隊阮久逸率兵掩擊，賊眾驚潰退守天祿地名在柴市六南岸，據險設屯爲持久計。	Binh ta lắm lần đánh mà không thắng lợi, chỉ có Cai đội Nguyễn Cửu Dật dẫn binh đánh úp thình lình, quân giặc kinh hãi tan vỡ, lùi giữ Thiên lộc (tên đất ở bờ phía nam Sài thị), giữ chỗ yếu hiểm lập đồn làm kế chống giữ lâu dài.
甲午春，命尊室昇尊室泗之子調撥諸軍往討。	Mùa xuân năm giáp ngọ (1774) Chúa Nguyễn sai Tôn Thất Thăng (con của Tôn Thất Tứ) điều động các quân đi thảo trừ.
昇畏賊勢大，棄其師連夜奔回。	Thăng sợ thế giặc lớn lao, bỏ binh đội luôn đêm chạy về.
是年夏，龍湖畱守宋福洽，該簿阮科洤董領五營將士及檄募諸道應義兵，水陸竝進，與賊戰，敗之克復平順延慶平康三府，軍次雲峰尋進克富安。	Mùa hạ năm ấy quan Lưu thủ Long hồ Tống Phúc Hạp, Cai cơ Nguyễn Khoa Tuyền thống lãnh tướng sĩ của Ngũ doanh và các binh sĩ ứng nghĩa mộ được ở các đạo, thuỷ quân và lục quân cùng tiến, đánh nhau với giặc, đánh bại được chúng, khắc phục được ba phủ Bình thuận Diên khánh Bình khang, quân đóng ở Vân phong rồi tiến lên khắc phục Phú yên.
步兵屯春臺，水兵次淋潭與賊相拒。	Bộ binh đồn ở Xuân đài, thuỷ quân đóng ở Lâm đàm cùng chống cự với giặc.
辰岳侵廣南，官軍累攻不克。	Lúc ấy Nhạc xâm lược Quảng nam, quan quân lắm lần đánh mà không thắng.
睿宗又命內右掌營尊室曮提大兵入廣南統領諸道討賊，會鄭兵南侵至北布政州，邊書告急，乃召尊室曮還，以久逸爲左軍大都督畱禦西賊。	Duệ tông lại sai quan Nội hữu Chưởng doanh Tôn Thất Nghiễm cầm đại binh vào Quảng nam thống lãnh các đạo quân dẹp giặc, nhằm lúc binh của Chúa Trịnh xâm phạm miền nam đến châu Bắc Bố chính. Thơ ở biên phòng báo gấp. Chúa Nguyễn bèn triệu Tôn Thất Nghiễm về, cho Cửu Dật làm Tả quân Đại đô đốc ở lại chế ngự giặc Tây sơn.
久逸旣將料敵制勝，累十餘戰皆克捷，賊眾大驚退保板津。	Cửu Dật đã làm tướng liệu dò quân giặc mà chế thắng, hơn mươi lần đánh đều thắng lợi, quân giặc cả sợ lùi giữ Bản tân.
其冬鄭兵犯都城。	Mùa đông năm ấy quân Trịnh xâm phạm đô thành Phú xuân.
睿宗幸廣南，遣皇孫暘先行過海雲關。	Duệ tông chạy đến Quảng nam khiến Hoàng tôn Dương đi trước qua cửa Hải vân.
乙未春駐蹕架津地名召久逸詣行在議事，遂册立皇孫暘爲東宮撫軍征討，居數日岳遣李才等將舟師出大壓海口。岳沿山出秋盆江，兩道來犯，久逸與戰不利走茶山。	Mùa xuân năm ất vị (1775) dừng lại ở Giả tân (tên đất) triệu Cửu Dật đến hành tại bàn nghị, bèn sách lập Hoàng tôn Dương làm Đông cung để vỗ yên quân đội mà đánh dẹp, ở được mấy ngày thì Nhạc sai bọn Lý Tài đem đội chiến thuyền ra cửa biển Đại áp, Nhạc ven theo núi ra sông Thu bồn, hai đường cùng tiến phạm, Cửu Dật đánh với chúng bất lợi chạy về Trà sơn.
睿宗駕幸嘉定，畱東宮退屯俱低地名以繫人朢。	Duệ tông đi đến Gia định, để Đông cung ở lại đã lui về đóng đồn ở Câu đê (tên đất) để buộc niềm hy vọng của nhân dân.
岳謀欲迎立東宮挾以惑眾，乃使其黨統率面，先鋒詳率兵二千屯翠鸞蒲阪俱地名爲上道，集亭李才率兵二千屯巴渡地名爲中道，督戰豐，虎將罕率兵二千屯河中爲下道，約：迎得東宮者功最。	Nhạc mưu tính muốn rước và lập Đông cung đem theo để gạt dân chúng, bèn sai đồ đảng Thống suất Diện, Tiên phong Tường đem hai ngàn quân đóng đồn ở Thúy loan và Bồ phản (đều là tên đất) làm Thượng đạo, Tập Đình Lý Tài đem hai ngàn quân đóng đồn ở Ba độ (tên đất) làm Trung đạo, Đốc chiến Phong. Hổ tướng Hãn đem hai ngàn quân đóng đồn ở Hà trung làm Hạ đạo, ước hẹn nhau: Ai rước được Đông cung thì được đầu công.
東宮令人誘面詳等南入，面等皆受命。	Đông cung sai người dụ bọn Diện và Tường vào nam, bọn Diện đều nhận lịnh.
東宮行至汙耶，李才逼迎回會安。	Đông cung đi đến Ô da bị Lý Tài ép đón về Hội An.
五福兵過海雲山，岳使集亭爲先鋒，李才爲中軍，岳自爲後隊與北軍戰于錦沙。	Quân của Hoàng Ngũ Phúc đã qua núi Hải vân. Nhạc sai Tập Đình làm tiên phong, Lý Tài làm trung quân, Nhạc tự làm hậu đội cùng đánh nhau với quân Trịnh ở Cẩm sa.
集亭軍爲鄭突騎所蹙，死傷甚眾。	Quân của Tập Đình bị quân đột kỵ của Trịnh đánh dồn, số tử thương rất đông.
岳與李才遂退板津岳以集亭爲人悍暴难制，因具敗共謀欲誅之。	Nhạc và Lý Tài bèn lui về Bản tân (Nhạc cho Tập Đình là người hung bạo khó kiềm chế, nhân hắn bại binh cùng mưu muốn giết hắn.
集亭懼奔廣東，後爲淸總督所殺。	Tập Đình sợ chạy về Quảng đông, về sau bị Tổng đốc nhà Thanh giết).
岳遂迎東宮還歸仁。	Nhạc bèn đón Đông cung về Quy nhơn.
辰黃五福兵屯廣南，宋福洽兵進富安，岳恐不支，遂遷東宮于河寮安泰二地名，盡將貨寳藏於西山上以避之，乃使其黨潘文歲等持書行金帛于五福乞納廣義，歸仁，富安三府地求爲小將爲大軍前驅進取嘉定。	Lúc ấy quân của Hoàng Ngũ Phúc đóng đồn ở Quảng nam, quân của Tống Phúc Hạp tiến đến Phú yên, Nhạc sợ không chống nổi bèn dời Đông cung về Hà liêu và An thái (hai tên đất), đem hết tiền của châu báu giấu ở Tây sơn thượng để né tránh, lại sai đảng viên, bọn Phan Văn Tuế cầm thơ và vàng lụa đến Hoàng Ngũ Phúc xin nộp đất ba phủ Quảng nghĩa, Quy nhơn, Phú yên xin làm tiểu tướng vì đại quân đi trước tiến lấy Gia định.
五福許之，乃權授岳爲西山校長壯節將軍，遣阮有整等齎敕印旗劍給之。	Hoàng Ngũ Phúc bằng lòng, bèn tạm trao chức cho Nhạc làm Tây sơn Hiệu trưởng Tráng tiết Tướng quân, sai bọn Nguyễn Hữu Chỉnh đem sắc ấn cờ gươm cấp cho Nhạc.
岳又使人詣福洽軍乞降，欲以興復爲名乃迎東宮還芃江，進其女壽香，屢請正王位。	Nhạc lại sai người đến quân của Tống Phúc Hạp xin đầu hàng, muốn lấy việc phục hưng nhà Chúa Nguyễn làm danh nghĩa, bèn rước Đông cung về Bông giang, dâng đứa con gái Thọ Hương lên Đông cung và lắm lần xin Đông cung chính thức lên ngôi chúa.
東宫不許。	Đông cung không ưng thuận.
適福洽使至。	Vừa lúc ấy sứ giả của Tống Phúc Hạp đến.
岳于正中設龍榻，奉東宮南面坐，左則岳等立侍，右則尊室晊等立侍以見使者。	Nhạc ở gian chính giữa đặt cái sạp rồng, đưa Đông cung đến ngồi hướng mặt về phía nam phía bên trái bọn Nhạc đứng hầu, phía bên mặt bọn Tôn Thất Chất đứng hầu để tiếp kiến sử giả Tống Phúc Hạp.
岳因言曰：五營將士千里勤王可謂忠義奮發矣。	Nhạc nhân đó nói: — Tướng sĩ của Ngũ doanh từ ngàn dặm đến lo việc cần vương có thể gọi là trung nghĩa phấn chấn vậy.
今國傅旣除，我當迎立皇孫以定大業。	Nay Quốc phó Trương Phúc Loan đã bị trừ rồi, ta phải đón lập Hoàng tôn để định yên nghiệp cả.
此萬世之功也，當與諸將士圖之。	Đó là cái công muôn đời phải cùng các tướng sĩ mưu tính.
使者曰：明公有心翊戴如此先聲所至莫不嚮從。	Sứ giả nói: Minh công có lòng tôn sùng giúp đỡ như thế, thì lời lên tiếng trước ấy đến đâu ai lại chẳng hưởng ứng theo.
今五營兵來當于何處駐札？	Nay quân Ngũ doanh đến phải được đóng ở nơi nào?
岳沉吟良久曰：此在殿下處置，惟命是從。	Nhạc trầm ngâm khá lâu nói: – Việc đó để Điện hạ xử trí, tôi chỉ tuân theo lịnh.
東宮曰：卿等善爲調度。	Đông cung nói: – Bọn khanh hãy khéo điều độ lấy việc ấy.
岳默然，罷朝修書講約交使者遞回。又使尊室晊入富安誘以扶立東宮奠安社稷之意。	Nhạc im lặng, bãi chầu, Nhạc lo viết thơ giảng hoà giao ước trao cho sứ giả đem về, rồi sai Tôn thất Chất vào Phú yên lấy ý tôn lập Đông cung để định yên xã tắc mà dụ Tống Phúc Hạp.
洽信之不爲備。	Hạp tin theo không phòng bị.
岳使惠掩擊破之。	Nhạc sai Huệ đánh úp phá được quân của Tống Phúc Hạp.
該隊阮文賢死於陣，獲該奇阮科堅以歸，畱李才屯富安。	Cai đội Nguyễn Văn Hiền chết trong trận. Bắt đặng Cai cơ Nguyễn Khoa Kiên đem về, để Lý Tài đồn giữ Phú yên.
岳绣堅降，不從，尋殺之。	Nhạc dụ Nguyễn Khoa Kiên hàng, Kiên không nghe theo, rồi bị giết.
福洽退保雲峰。	Tống Phúc Hạp lùi giữ Vân phong.
李才尋詣福洽軍降。	Về sau Lý Tài đến đầu hàng ở quân của Tống Phúc Hạp.
黃五福進次珠塢廣義界首。	Hoàng Ngũ Phúc tiến đến đóng quân ở Châu ô (đầu ranh giới Quảng nghĩa).
岳以攻破富安之功請於五福。	Nhạc lấy công đánh phá được Phú yên dâng lên xin với Hoàng Ngũ Phúc.
五福權授惠爲西山校前鋒將軍。	Ngũ Phúc tạm trao cho Huệ chức Tây sơn hiệu Tiền phong Tướng quân.
會疫作。鄭兵死者太半，遂引還富春，尋病死於道。	Gặp lúc bịnh dịch phát lên, quân Trịnh chết quá nửa, Ngũ Phúc bèn dẫn quân về Phú xuân rồi bịnh mà chết ở dọc đường.
其冬尊室鬈尊室春起兵於廣南以張福佐爲謀主。	Mùa đông năm ấy Tôn thất Quyền Tôn thất Xuân dấy binh ở Quảng nam lấy Trương Phúc Tá làm Mưu chủ.
又有淸商名悉以家貲億萬助之，軍勢大振，據升奠二府。	Lại có khách thương người Tàu tên Tất lấy tiền của nhà hằng ức vạn giúp đỡ Quyền và Xuân, thể quân chấn khởi lớn lao, chiếm cứ hai phủ Thăng và Điện.
岳乃悉眾拒戰，相持二月餘。	Nhạc bèn đem hết quân ra cự chiến giữ nhau hơn hai tháng.
會歲饑鬈軍乏糧，岳擊破之，兵皆潰散。	Gặp năm đói kém, quân của Quyền thiếu lương thực bị Nhạc đánh phá được, quân của Quyền đều tan rã.
岳畱其黨阮文睿守廣南，自引兵回歸仁。	Nhạc để đảng viên Nguyễn Văn Duệ giữ Quảng nam, tự mình dẫn quân về Quy nhơn.
丙申春岳使弟呂爲節制率水兵入寇嘉定。	Mùa xuân năm bính thân (1776) Nhạc sai em là Lữ làm Tiết chế dẫn thuỷ quân vào cướp Gia định.
睿宗幸鎭邊今邊和。	Duệ tông đến Trấn biên (nay là Biên hoà).
呂據柴棍卽嘉定。	Lữ chiếm cứ Sài côn (tức Gia định).
會東山道杜淸仁起兵收復柴棍，呂掠載倉粟奔回歸仁。	Gặp lúc Đỗ Thanh Nhân ở Đông sơn đạo dấy quân lấy lại được Sài côn. Lữ cướp lấy gạo thóc ở kho chở chạy về Quy nhơn.
二月岳增築闍槃城，僭稱西山王，鑄金印屢缺，三鑄乃成，以呂爲少傳，惠爲輔政，餘其黨各與僞職，乃遷東宮于什塔寺。	Tháng hai Nhạc cho xây thêm thành Đồ bàn, vượt phận tự xưng Tây sơn Vương, đúc ấn vàng lắm lần bị khuyết, đúc ba lần mới thành, cho Lữ làm Thiếu phó, cho Huệ làm Phụ chính, các đảng viên khác đều được ban cho chức phận, bèn dời Đông cung về chùa Thập tháp.
東宮因乘閒駕海入嘉定。	Đông cung thừa lúc sơ hở cỡi thuyền vượt biên vào Gia định.
辰降將和義李才據召泰山以叛，聞東宫來乃引兵下柴棍，立東宮爲新政王，尊睿宗爲太上王。	Lúc ấy viên tướng đầu hàng là Hoà Nghĩa Lý Tài chiếm cứ Chiêu thái sơn để làm phản, nghe Đông cung đến bèn dẫn binh xuống Sài côn, lập Đông cung làm Tân chính Vương, tôn Duệ tông làm Thái thượng Vương.
丁酉岳遣其臣杜富雋使于鄭求廣南閫節。	Năm đinh dậu (1777) Nhạc sai bề tôi là Đỗ Phủ Tuấn đi sứ ra Chúa Trịnh xin làm Khổn tiết đất Quảng nam.
鄭森亦厭兵乃授岳爲廣南鎭守宣慰大使，封恭國公。	Trịnh Sâm cũng chán việc binh bên trao cho Nhạc chức Quảng nam Trấn thủ Tuyên uý Đại sứ, phong Nhạc tước Cung Quốc công.
岳復使呂惠分水步寇嘉定。	Nhạc lại sai Lữ và Huệ chia hai đường thuỷ và bộ vào cướp Gia định.
李才拒之，兵潰，新政王退保茶津屬定祥復下巴樾屬永隆，太上王幸龍川屬河僊，惠等躡及，俱遇害。	Lý Tài chống cự với quân Tây sơn, binh vỡ, Tân chính Vương lùi giữ Trà tân (thuộc Định tường), lại xuống Ba việt (?) (thuộc Vĩnh long), Thái thượng Vương đến Long xuyên (thuộc Hà tiên), bị bọn Huệ đuổi theo kịp, Tân chính Vương và Thái thượng Vương đều bị hại.
呂惠引回歸仁畱僞黨總督朱，虎將罕，司寇威，調遣和，該奇振皆缺姓據嘉定。	Lữ và Huệ dẫn binh về Quy nhơn, để đảng viên của Tây sơn là Đô đốc Chu, Hổ tướng Hãn, Tư khấu Uy, Điều khiển Hoà, Cai cơ Chấn (đều thiếu họ) chiếm cứ Gia định.
是冬我世祖起兵龍川進取柴棍。朱等敗奔還歸仁。	Mùa đông năm ấy Thế tổ triều ta (Gia long) dấy binh ở Long xuyên tiến lên lấy Sài côn, bọn Chu bại binh chạy về Quy nhơn.
戊戌岳自立爲帝僞號泰德元年，名闍槃城曰皇帝城，以呂爲節制，惠爲龍驤將軍，復遣總督朱，司寇威，護駕范彥以水師侵掠鎭邊今邊和，藩鎭今嘉定，沿海諸地方。	Năm mậu tuất (1778) Nhạc tự lập làm Hoàng đế, gọi là năm đầu niên hiệu Thái đức, gọi thành Đồ bàn là thành Hoàng đế, cho Lữ làm Tiết chế, cho Huệ làm Long tương Tướng quân, lại sai Tổng đốc Chu, Tư khấu Uy, Hộ giả Phạm Ngạn đem chiến thuyền xâm lược Trấn biên (nay là Biên hoà), Phiên trấn (nay là Gia định) và các địa phương ven biển.
世祖自將擊之。	Thế tổ tự làm tướng đánh giặc.
杜淸仁斬司寇威于牛渚。總兵阮文弘進次鹿野斬岳將亷陵二人皆缺姓。	Đỗ Thanh Nhân chém Tư khấu Uy ở Bến Nghé, Tổng binh Nguyễn Văn Hoằng tiến lên đóng ở Đồng nai chém hai tướng của Nhạc là Liêm và Lăng (hai người đều thiếu họ).
范彥敗走。	Phạm Ngạn thua chạy.
我師乘勝收復平順，進逼延慶府。	Quân ta (của Nguyễn) thừa thắng lấy lại Bình thuận, tiến sát đến phủ Diên khánh.
庚子黎景興四十一年淸乾隆四十五年世祖卽王位于柴棍。	Năm canh tý (Năm Lê Cảnh Hưng thứ 41 – Năm Thanh Càn Long thứ 45) Thế tổ lên ngôi Chúa ở Sài côn.
壬寅杜淸仁以罪伏誅。	Năm nhâm dần Đỗ Thanh Nhân mắc tội bị giết.
岳聞之，喜曰：右芳淸仁别名旣死，諸將不足慮也。	Nhạc nghe được vui mừng nói: Hữu Phương (tên riêng của Đỗ Thanh Nhân) đã chết thì các tướng của Nguyễn không đáng lo.
遂與惠率戰船數百艘入芹除海口，戰于七岐江。	Nhạc bèn cùng Huệ đem chiến thuyền mấy trăm chiếc vào cửa biển Cần giờ đánh nhau với quân Nguyễn ở sông Thất kỳ (sông bảy nhánh).
我師失利退保三埠。	Quân ta (Nguyễn) thất lợi lùi giữ Tam phụ.
於是柴棍復爲岳所據。	Do đó Sài côn lại bị Nhạc chiếm cứ.
夏四月平順節制尊室裕以和義道兵入援斬范彦於參良橋。	Tháng tư mùa hạ Tiết chế Tôn Thất Dụ ở Bình thuận được đạo binh của Hoà Nghĩa Lý Tài vào tiếp viện đã chém Phạm Ngạn ở cầu Tham lương.
岳恨和義之殺范彥也，凡淸人不問兵民商賈盡捕斬之投屍滿江。	Nhạc giận việc Hoà Nghĩa giết Phạm Ngạn, cho nên hễ là người Tàu không cần hỏi là lính hay dân hay buôn bán Nhạc cho bắt hết giết đi ném thây đầy sông.
辰駕幸呂埠。	Lúc ấy Nguyễn vương (Gia long) chạy đến Lữ phụ.
僞都督學躡其後爲我將阮金品斬殺餘眾潰走。	Đô đốc Học của Tây sơn đuổi theo sau bị tướng Nguyễn Kim Phẩm của ta chém chết quân còn lại tan rã bỏ chạy.
惠兵掩至，背水爲陣，我師郤。	Binh của Huệ áp tới, tựa lưng vào dòng nước làm trận thế, quân ta (Nguyễn) phải lùi.
駕幸富國島。	Nguyễn vương đến đảo Phú quốc.
岳引回歸仁畱東山降將杜閑蟄，戶部伯缺姓守嘉定。	Nhạc dẫn quân về Quy nhơn, để tướng của Đông sơn đã đầu hàng là Đỗ Hàn Trập, Hộ bộ Bá (thiếu họ) giữ Gia định.
